4                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.4997,                 3.5642,                 4.1406,                0.00231,                0.23684,                0.00608,                0.00224,                 3.8844,                 4.0141,                 4.2359,             0.00065591,             0.00065591,             0.00065591
                      2,                  3.149,                 3.3354,                   3.58,                0.00539,                0.26316,                0.00882,                0.00304,                 3.6651,                 4.0697,                 4.2896,              0.0012898,              0.0012898,              0.0012898
                      3,                 2.9097,                 3.1975,                 3.2315,                0.05963,                0.07895,                0.01401,                0.00408,                 3.4858,                 5.5945,                 4.3286,              0.0018908,              0.0018908,              0.0018908
                      4,                  2.706,                 3.0836,                 3.0135,                0.03549,                0.23684,                0.01494,                0.00409,                 3.0939,                 4.4105,                  3.363,              0.0018515,              0.0018515,              0.0018515
                      5,                 2.6124,                 2.9349,                 2.9025,                0.06462,                0.15789,                0.01853,                0.00468,                 2.9842,                 4.1326,                 3.2017,              0.0018515,              0.0018515,              0.0018515
                      6,                  2.471,                 2.7642,                 2.7619,                0.11507,                0.21053,                0.06656,                0.02082,                 2.8214,                 3.1512,                 2.9938,               0.001802,               0.001802,               0.001802
                      7,                  2.379,                 2.7329,                   2.69,                0.19432,                0.18421,                0.10994,                0.04763,                 2.5737,                 3.7773,                 2.7394,              0.0017525,              0.0017525,              0.0017525
                      8,                 2.2675,                 2.6274,                 2.6147,                0.25435,                0.15789,                0.11546,                0.04145,                  2.419,                 3.0531,                 2.6657,               0.001703,               0.001703,               0.001703
                      9,                 2.2343,                 2.5539,                 2.5447,                 0.1685,                0.13158,                0.05963,                0.02254,                 2.6439,                 3.2433,                 2.9257,              0.0016535,              0.0016535,              0.0016535
                     10,                 2.1643,                  2.434,                 2.4699,                 0.3647,                0.23684,                0.19504,                0.07789,                  2.339,                 2.6849,                 2.6229,               0.001604,               0.001604,               0.001604
                     11,                 2.0786,                 2.3881,                 2.3977,                0.19916,                0.21053,                 0.1078,                0.04807,                  2.241,                 2.7752,                 2.4821,              0.0015545,              0.0015545,              0.0015545
                     12,                 2.0249,                 2.3003,                 2.3442,                0.29374,                0.26316,                0.19031,                0.07751,                 2.2847,                 2.6886,                 2.3777,               0.001505,               0.001505,               0.001505
                     13,                 1.9767,                 2.2832,                 2.3053,                0.47324,                0.21053,                0.19437,                0.09606,                 2.1405,                 2.3481,                 2.3389,              0.0014555,              0.0014555,              0.0014555
                     14,                 1.9586,                 2.2013,                 2.2548,                0.50459,                0.23684,                0.26117,                0.11703,                 2.2062,                 2.3114,                 2.4002,               0.001406,               0.001406,               0.001406
                     15,                 1.8938,                 2.1035,                 2.1855,                0.30239,                0.31579,                0.21604,                0.09653,                  2.328,                  2.344,                 2.5319,              0.0013565,              0.0013565,              0.0013565
                     16,                 1.9068,                 2.1393,                 2.2033,                0.52557,                0.26316,                 0.2722,                0.12129,                 2.1591,                 2.2465,                 2.3931,               0.001307,               0.001307,               0.001307
                     17,                 1.8836,                 2.0755,                 2.1496,                0.43623,                 0.2446,                0.23382,                0.10798,                  2.301,                 2.2184,                 2.5573,              0.0012575,              0.0012575,              0.0012575
                     18,                 1.8171,                 2.0381,                 2.1276,                0.46549,                0.26316,                 0.2893,                0.15071,                 2.2196,                 2.4102,                 2.3863,               0.001208,               0.001208,               0.001208
                     19,                 1.8336,                  1.995,                  2.115,                0.40525,                0.32293,                0.29316,                0.14257,                 2.1576,                 2.2762,                 2.3099,              0.0011585,              0.0011585,              0.0011585
                     20,                 1.7776,                 1.9848,                 2.0849,                0.27624,                0.34211,                0.26027,                 0.1231,                 2.2533,                 2.1658,                  2.489,               0.001109,               0.001109,               0.001109
                     21,                  1.789,                 1.9472,                 2.0817,                0.52293,                0.31579,                0.29789,                0.15546,                  2.177,                 2.0861,                 2.3756,              0.0010595,              0.0010595,              0.0010595
                     22,                 1.7502,                  1.931,                 2.0519,                 0.5029,                0.28947,                0.31914,                0.15841,                 2.0691,                 1.9901,                 2.2416,                0.00101,                0.00101,                0.00101
                     23,                 1.7566,                 1.8969,                 2.0477,                0.44686,                0.31579,                0.29201,                0.15826,                 2.0968,                 2.0737,                 2.2761,              0.0009605,              0.0009605,              0.0009605
                     24,                 1.7136,                 1.8558,                 2.0114,                0.70976,                0.21053,                0.29282,                0.15358,                 2.0814,                 2.1335,                 2.2912,               0.000911,               0.000911,               0.000911
                     25,                 1.7145,                 1.8565,                 2.0053,                   0.48,                0.31579,                0.32003,                0.17214,                 2.1887,                 2.0611,                 2.2805,              0.0008615,              0.0008615,              0.0008615
                     26,                 1.6749,                 1.8229,                 1.9928,                 0.6369,                0.31579,                 0.3482,                0.19018,                 2.0954,                  2.033,                 2.2726,               0.000812,               0.000812,               0.000812
                     27,                 1.6925,                 1.8069,                 1.9685,                0.43281,                0.34211,                0.29663,                0.15876,                 2.0319,                 2.1772,                  2.202,              0.0007625,              0.0007625,              0.0007625
                     28,                 1.6503,                 1.7702,                 1.9498,                0.62405,                0.28947,                0.34775,                0.19139,                 2.0419,                 1.9999,                 2.1741,               0.000713,               0.000713,               0.000713
                     29,                 1.6498,                 1.7653,                  1.936,                0.65686,                0.26316,                0.34489,                0.17656,                 2.1155,                 1.9889,                 2.3036,              0.0006635,              0.0006635,              0.0006635
                     30,                 1.6391,                 1.7393,                 1.9343,                0.45204,                0.31579,                0.35849,                0.18467,                 2.0551,                 1.9526,                 2.2504,               0.000614,               0.000614,               0.000614
                     31,                 1.6425,                 1.8621,                 1.9427,                 0.4997,                0.31579,                0.36225,                 0.2019,                 2.0307,                 1.8298,                 2.2039,              0.0005645,              0.0005645,              0.0005645
                     32,                 1.6029,                 1.7354,                 1.9038,                0.60767,                0.36842,                0.38781,                0.22233,                 1.9704,                 1.9081,                 2.1107,               0.000515,               0.000515,               0.000515
                     33,                 1.5873,                 1.6952,                 1.8778,                0.48294,                0.36842,                0.36992,                0.21338,                 2.0507,                 1.8816,                 2.2403,              0.0004655,              0.0004655,              0.0004655
                     34,                 1.5596,                 1.6803,                 1.8722,                0.61698,                0.39474,                0.41458,                0.21739,                 1.9735,                 1.8421,                 2.1762,               0.000416,               0.000416,               0.000416
                     35,                 1.5409,                 1.6558,                 1.8568,                0.62298,                0.31579,                 0.3764,                0.21371,                 1.9792,                 1.8785,                 2.1061,              0.0003665,              0.0003665,              0.0003665
                     36,                 1.5406,                 1.6332,                  1.833,                0.47569,                0.35836,                0.37786,                0.21079,                 1.9681,                  1.895,                 2.1528,               0.000317,               0.000317,               0.000317
                     37,                 1.5137,                 1.5841,                 1.8276,                0.56115,                0.36842,                0.39478,                0.22545,                 1.9746,                 1.8023,                 2.1438,              0.0002675,              0.0002675,              0.0002675
                     38,                 1.4968,                 1.5917,                  1.804,                0.66072,                0.34211,                0.39826,                0.21608,                 1.9416,                 1.8336,                 2.1609,               0.000218,               0.000218,               0.000218
                     39,                 1.4991,                 1.5599,                 1.7919,                0.61588,                0.36842,                0.40863,                0.21888,                 1.9692,                 1.8479,                 2.1407,              0.0001685,              0.0001685,              0.0001685
                     40,                 1.4931,                 1.5689,                 1.7844,                0.70674,                0.38085,                0.41225,                0.22526,                 1.9232,                 1.7944,                 2.1336,               0.000119,               0.000119,               0.000119
